Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2017-01-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-11-27;0;null;null;26,7;null;21,8;null;null;4,6;1,1;
2023-11-28;0;null;null;26,7;null;21,7;null;null;4,4;,9;
2023-11-29;19;null;null;29,6;null;22,3;null;null;8,9;1,4;
2023-11-30;,6;null;null;29,4;null;22,2;null;null;5,8;1,4;
2023-12-01;0;1011,7;23,8;28,1;25,3;22,6;91,7;79;5,2;1,1;
2023-12-02;,2;1009,8;23,7;29,4;25,9;22,3;88,5;70;6;1,4;
2023-12-03;0;1008,4;23,7;30,1;26;21,6;87,9;69;7,5;1,4;
2023-12-04;0;1011,5;24;29,8;25,9;23,1;89,6;65;5,7;1,2;
2023-12-05;,2;1014,9;24,2;28,2;25,3;22,9;93,8;77;5,3;1;
2023-12-06;,2;1012,6;24,9;30,6;26,9;24;89,4;73;6,2;1,3;
2023-12-07;,2;1009;null;34,6;28,7;24,5;95,8;69;20,1;1,5;
2023-12-08;4,6;1012,5;23,9;32,3;25,7;24;94,7;72;11;1,6;
2023-12-09;72,2;1016,8;21,2;22,9;21,5;20,8;98,3;90;8,9;1,2;
2023-12-10;9;1014,4;20,6;26,5;23,2;20,3;86,1;69;7,6;1,6;
2023-12-11;26;1011,6;21,9;27,2;22,5;20,3;96,6;75;9,4;1,2;
2023-12-12;41,2;1016,5;21,2;25,3;22,4;21,1;93,1;72;4,3;1;
2023-12-13;,6;1014;20,9;28,6;24;19,6;84,1;61;6,8;1,3;
2023-12-14;0;1011,6;23,1;28,6;24,8;21,7;91;73;5,5;1,1;
2023-12-15;0;1011,7;23,7;29,7;25,3;21,8;91,5;73;6,5;1,1;
2023-12-16;0;1012,4;24,9;28,8;26;24,6;94;81;5,4;1,1;
2023-12-17;0;1010,8;24,8;30,2;26,4;23,8;92,9;79;6,4;1,1;
2023-12-18;0;1009;24,1;29,5;26,3;23,9;88,5;70;7;1,4;
2023-12-19;0;1008,5;22,9;29,6;26;22,7;84;62;8,6;1,8;
2023-12-20;0;1011,1;22,3;28,5;25,1;21,2;85,6;69;7,2;1,8;
2023-12-21;0;1012,2;22,9;28,6;25,2;21,8;87,8;68;8,7;1,5;
2023-12-22;0;1011,6;23,7;28,4;25;22,3;92,4;74;6,6;1,2;
2023-12-23;0;1010,8;24,1;30,7;26,1;22,8;94,6;70;6,1;1,6;
2023-12-24;1,2;1010,4;23,7;30,5;26,1;22,9;88,3;70;6,6;1,2;
2023-12-25;,2;1009,4;null;31,4;26,6;23;95,7;70;6,6;1,3;
2023-12-26;6,4;1010,7;24;29,2;25,5;25,1;92;76;6,4;1,2;
2023-12-27;,6;1015,6;20,2;29,2;24,5;21,2;79;41;5,8;1,3;
2023-12-28;0;1013,9;20,7;28,7;24,4;20;81;60;6,3;1,4;
2023-12-29;0;1008,2;null;32,4;26,3;20,8;94,7;69;6,8;1,3;
2023-12-30;6;1012,4;23,1;28,2;24,8;22,2;90,7;69;8,8;1,1;
2023-12-31;6,2;1014,9;21,9;27,1;23,8;21,6;89,6;65;8,9;1,4;
2024-01-01;,2;1013,8;21,5;28,2;25;21,8;81,8;65;8,9;1,8;
2024-01-02;0;1011,6;21,8;28;25,2;21,5;82;66;6,8;1,3;
2024-01-03;0;1009,5;23,8;30;25,5;23,3;91,5;69;6,8;1,1;
2024-01-04;1,6;1010;24;27,5;24,9;23,7;94,7;79;6,2;1,4;
2024-01-05;11,8;1011,5;23,5;26,4;24,2;22,7;96,1;81;4,4;,9;
2024-01-06;11,8;1012,4;22,8;28,3;24,6;22,3;90;67;5,7;1,3;
2024-01-07;,2;1011,6;23,1;29;25,1;21,6;89;70;5,9;1,4;
2024-01-08;0;1009,1;23,5;30,8;26,3;21,9;90,1;70;6,1;1,4;
2024-01-09;0;1010,4;null;33,2;28,1;25,5;86,3;69;12,6;1,9;
2024-01-10;0;1010,9;null;31,2;27,7;24,9;93,1;80;6,5;1,7;
2024-01-11;0;1008,8;null;34,7;28,2;25,1;93,6;74;8,8;1,6;
2024-01-12;43,4;1009;25,1;31,1;26,2;24,4;98,3;77;7,7;1,4;
2024-01-13;99,2;1013,9;23,7;25,2;23,8;23,7;99,6;94;8,8;1,7;
2024-01-14;5,6;1014,4;21,9;27,4;24;20,7;89;69;5,6;1,2;
2024-01-15;0;1011,1;null;32,2;26,8;22,9;95,3;77;6,6;1,5;
2024-01-16;0;1010,1;null;35,6;29,7;25,5;90,4;77;6,9;1,4;
2024-01-17;0;1011;null;35,6;28,7;25,2;96,8;83;8,5;1,2;
2024-01-18;38,4;1011,7;25,1;30,2;26,3;24;93,9;81;6,2;1,3;
2024-01-19;1,4;1008,4;null;32,9;28,2;24,1;88,5;60;19,3;1,8;
2024-01-20;4,2;1006,1;null;34,6;29,6;24,8;null;67;19,3;2,4;
2024-01-21;12,2;1009,8;24,1;31;25,5;23,2;94,8;71;8,7;1,3;
2024-01-22;15;1014,4;22,8;29,4;25,1;23,2;89,4;64;10;2;
2024-01-23;17,6;1014,1;21,4;23;21,5;21,4;99,7;92;10,8;1,6;
2024-01-24;79;1011,5;20,7;25,7;21,6;19,2;95,1;76;10;1,5;
2024-01-25;163,4;1012,1;20,6;22,5;20,6;19,5;99,8;89;11,5;1,8;
2024-01-26;117,4;1013,4;20,2;26,8;22,2;19,5;89,5;59;6;1,1;
2024-01-27;1,6;1012,6;22,1;27,5;23,4;21,1;93,1;72;6,1;1,1;
2024-01-28;,6;1013;21,6;28,2;23,5;20,6;89,8;58;8,9;1;
2024-01-29;2;1012,2;21,8;28,8;24,2;20,1;87,8;61;6,5;1,3;
2024-01-30;0;1010,7;23,6;29,8;25,6;21,5;92,7;74;6,1;1,5;
2024-01-31;0;1012,1;24;29,1;25,2;22,6;94,3;75;5,5;1,3;
2024-02-01;1,2;1015;22,3;29,6;25,1;21,3;86,8;59;7,8;1,5;
2024-02-02;4,6;1017,4;23,4;27,7;23,9;22,5;96,8;75;7,2;1,1;
2024-02-03;16;1016,5;23,2;27,4;24,5;21,8;93;79;5,6;,9;
2024-02-04;,2;1014,5;23,4;29,9;25;22,3;96,2;72;5,6;1,1;
2024-02-05;10,6;1013,7;null;31;25,7;20,6;93,7;62;5,9;1,2;
2024-02-06;0;1015,2;23,7;30,6;26;22,2;93,5;78;7,5;1,4;
2024-02-07;0;1013,3;24,2;29,8;26,2;23;91,4;73;5,9;1,3;
2024-02-08;0;1012,1;null;31,4;26,7;22,9;95,2;78;5,7;1,4;
2024-02-09;0;1013,3;null;31,2;27,2;23,5;95,2;80;8,9;1,6;
2024-02-10;0;1014,9;null;31,7;28,2;24,6;93,1;75;7,9;1,5;
2024-02-11;0;1014,9;null;31,2;27,1;23,9;95,9;81;6,3;1,4;
2024-02-12;0;1013,8;null;32,6;28,1;24,2;null;83;7,4;1,5;
2024-02-13;0;1011,9;null;36,8;31,1;25,8;null;66;10,3;2;
2024-02-14;27,4;1013,7;24,3;31,5;25;22,8;96,1;56;14,9;1,3;
2024-02-15;50;1015,3;23,5;25,7;23,9;22,9;97,8;86;9,4;1,4;
2024-02-16;7,4;1014,4;22,3;27,5;24,3;22,3;89,7;70;5;1,2;
2024-02-17;0;1012,1;22,1;28,8;24,4;20,2;87,8;63;6,1;1,2;
2024-02-18;0;1010,1;23,5;29,7;25,3;22,6;92,4;72;7,2;1,2;
2024-02-19;,4;1008;23,7;28,9;25;22,1;93,4;75;7;1,3;
2024-02-20;0;1006,8;23,7;27,8;24,2;23,3;97,3;80;6,4;1,1;
2024-02-21;36;1007,7;23,5;27,3;24,3;22,2;95,3;80;4,2;1;
2024-02-22;5,8;1008,3;24,3;29,3;25,3;23,1;95,7;83;4,8;1,1;
2024-02-23;1,2;1011;24,7;30,7;26;23,3;99,1;79;6;1;
2024-02-24;14,8;1014,5;25,2;31,1;26,6;24,3;97,8;83;5,7;1,1;
2024-02-25;,8;1017,4;null;31,3;27,2;24;98;83;6,8;1,3;
2024-02-26;3,2;1016,3;25,9;28,5;26,3;24,6;97,5;88;6,4;1,3;
2024-02-27;13,4;1011,2;null;30,8;27;23,8;98,4;83;5,3;1,1;
2024-02-28;,2;1009,8;null;32,4;27,9;24,3;96,8;81;14,5;1,3;
2024-02-29;0;1011,5;25,7;30,6;27,1;25;95,8;80;7,5;1,3;
2024-03-01;0;1011,3;null;32,3;26,7;24,3;97,1;79;8;1,3;
2024-03-02;26,6;1013,4;23,3;29,5;26,1;23,1;89,5;68;6,7;1,6;
2024-03-03;0;1011,9;23;30,1;25,8;21,5;90,7;65;7,9;1,4;
2024-03-04;0;1011,4;24,4;29,5;25,5;22,8;96,4;78;5,2;1,2;
2024-03-05;0;1011,8;25;30,2;25,8;23,7;98,1;80;6,3;,9;
2024-03-06;12,4;1013,9;24,4;27,3;24,9;24;97,6;82;11,7;1,6;
2024-03-07;84,4;1016,7;24,4;27,2;24,9;23;97,3;80;10,5;1,9;
2024-03-08;2,4;1015,1;24,9;28,4;26;24,3;94,3;80;10,8;1,2;
2024-03-09;4,8;1010,5;null;31,4;26,7;24;98,4;90;5,7;1,1;
2024-03-10;2,6;1010,8;null;31,5;27,5;24,6;98,7;80;8;1,2;
2024-03-11;10;1015,5;24,4;28,6;25,9;24;92,5;76;7,9;1,3;
2024-03-12;0;1016,7;22,4;28;24,2;20,8;91,1;64;5;1,1;
2024-03-13;2,6;1014,9;23,3;28,1;25,1;22,5;90,5;72;4,9;1;
2024-03-14;,2;1013,2;23,9;28,1;25;22,3;93,8;78;3,8;1;
2024-03-15;0;1009,8;null;31;26,3;23;98;87;5,5;1,3;
2024-03-16;0;1007,6;null;30,8;27,2;24;98,9;91;5,6;1,4;
2024-03-17;0;1008,6;null;33;27,9;25,2;98,6;87;9,4;1,3;
2024-03-18;35,2;1011;25,2;30,4;25,9;24;97,6;82;4,8;,9;
2024-03-19;,2;1009,9;null;30,1;26,8;23,9;97,9;86;5,8;1,2;
2024-03-20;,2;1007,8;null;30,6;27,4;24,5;98,8;87;5,4;1,1;
2024-03-21;0;1005,5;null;38,4;30,6;25,7;88,9;74;17,4;1,8;
2024-03-22;66;1015,6;23,2;28,7;23,8;23,3;96,5;74;17,6;1,4;
2024-03-23;33,8;1019,7;21,5;24,6;22,2;21,8;96,1;72;7,4;1,4;
2024-03-24;22,4;1017;21,3;26,3;22,8;20,5;92,3;70;4,6;,9;
2024-03-25;,2;1013,5;22,6;28;24,1;21,6;92,7;74;6;1,1;
2024-03-26;0;1014,9;21,3;27,8;23,8;21,2;87,1;55;5,9;1,1;
2024-03-27;,2;1017;22,7;26,4;24,2;21,9;91,9;75;6,3;,9;
2024-03-28;4;1017,7;22,1;25,1;22,5;20,6;97,5;83;2,6;,9;
2024-03-29;3,2;1015,9;23,4;27,1;24,1;21,4;96;81;3,6;,8;
2024-03-30;,2;1014,2;23,6;28,8;24,9;22,9;94,1;73;7,1;1,2;
2024-03-31;0;1013,3;22,1;28,5;24,1;19,9;91,3;71;6;1,3;
2024-04-01;0;1012,8;22,1;28,2;23,8;19,5;91,1;66;5,8;1,1;
2024-04-02;0;1010,8;22,4;27,5;23,8;21,7;92,8;74;5;1,2;
2024-04-03;0;1012,9;22,8;28,7;25;21,8;89,7;69;5,8;1,4;
2024-04-04;0;1014;23,8;29,1;25,4;22,7;94,8;80;6,5;1,2;
2024-04-05;0;1014,2;23,9;30,3;25,6;22;94,6;79;6,4;1,2;
2024-04-06;0;1015,4;23,9;27,9;25;23;94,8;78;9,2;1,7;
2024-04-07;3,2;1016,3;22,5;27,6;24,4;22,3;89,5;72;9,8;1,7;
2024-04-08;0;1013,4;23,5;27,2;24,4;22,1;94,8;80;5,1;1,2;
2024-04-09;7;1013,2;23,6;26,6;24,1;22,2;97,3;86;4,6;,9;
2024-04-10;,6;1012;23,4;27,7;24,3;21,8;95,1;78;5,2;,9;
2024-04-11;,2;1014,2;23,9;27;24,3;23;98;84;5,3;1;
2024-04-12;7,6;1016,6;24,1;28,5;25,3;22,4;96,7;77;8,3;1,5;
2024-04-13;,4;1015,8;23,7;28,4;25,4;22,1;92,1;70;7,2;1,3;
2024-04-14;0;1013,9;24,1;27,8;25,1;22,4;95,2;77;4,8;,9;
2024-04-15;0;1014,2;24,3;28,5;25,2;23;95,8;81;5,2;1;
2024-04-16;0;1014,2;24,3;28,8;25,5;23,2;96,5;78;5,9;1;
2024-04-17;28,2;1012,2;25,2;28,5;25,6;24,1;98,3;88;7,7;1,3;
2024-04-18;34,8;1016,9;20,9;25,3;22,6;20,8;91,1;67;9,4;1;
2024-04-19;0;1018,7;17,8;25,5;21,5;17,5;82;48;5,6;1;
2024-04-20;,2;1019;20,1;25,6;22,4;20,1;87,8;63;5,7;1,2;
2024-04-21;0;1017,1;20;25,9;21,8;18,6;90,2;69;5,3;1,2;
2024-04-22;,2;1014,1;20,8;26,5;22,1;18,9;92,8;73;5,2;1,2;
2024-04-23;0;1012,5;21,6;28,6;23,6;20,1;90,3;66;6,1;1,2;
2024-04-24;0;1012,4;null;31,7;25,3;20,5;89,9;62;7;1,1;
2024-04-25;3,2;1015,8;23,7;25,1;24,1;23,3;98;89;7,7;1,1;
2024-04-26;,6;1015,9;23,1;26,7;24,2;22,5;94,3;79;7,1;1,5;
2024-04-27;,2;1012;22,9;28,1;24,1;21,3;94,4;70;5,3;1;
2024-04-28;0;1010,2;null;35,8;29;23;null;56;9,4;1,8;
2024-04-29;,4;1014;24,3;28,4;25;23,2;96,3;80;5,3;1,1;
2024-04-30;,2;1012,5;24;29,3;24,8;22,7;96,3;79;5,4;1,1;
2024-05-01;0;1011,1;23,7;27,3;24,2;21,3;97,4;81;5,8;1,2;
2024-05-02;0;1007,4;null;37,4;29,2;22,4;81,2;55;12,3;1,7;
2024-05-03;0;1011,6;23,3;29,1;25,6;22,3;89,3;67;8,9;1,4;
2024-05-04;0;1014;23;28,7;24,6;21,5;93,3;73;5,8;1,2;
2024-05-05;0;1015,8;23,7;27,9;24,4;21,7;96,3;82;6,4;1,3;
2024-05-06;0;1014,5;22,6;27,6;23,9;20,8;93,3;74;5,7;1,3;
2024-05-07;,2;1012;null;32,3;25,6;20,9;96,9;60;9;1,5;
2024-05-08;0;1011,3;null;36,5;27,3;22,8;92,9;61;8,7;1,4;
2024-05-09;0;1014,2;null;34,7;28,6;23,5;86,7;48;12,3;1,7;
2024-05-10;1,8;1015,4;24,6;26,8;25,3;24,5;96,4;87;6,2;1,6;
2024-05-11;,2;1011,4;null;34,4;25,8;21,7;97,8;73;6,4;1,1;
2024-05-12;,2;1009,4;null;34,2;25,8;21,7;92,6;70;8,9;1,2;
2024-05-13;0;1008,4;null;35,2;29,6;22,9;null;37;13,2;2;
2024-05-14;11,4;1015;22,1;26;22,2;21,5;99,6;75;6,6;1;
2024-05-15;14,2;1017,8;19,8;20,7;19,8;19,8;100;100;4,6;1,1;
2024-05-16;14,4;1015,4;20,7;25,7;21,7;18,9;94,4;75;4,4;,9;
2024-05-17;,2;1012,8;null;37,3;26,6;20,8;95,4;70;9,6;1,6;
2024-05-18;0;1015,8;23,5;26,2;24,3;22,8;95,7;84;8,6;1,1;
2024-05-19;0;1017,3;22,2;26,1;23,3;22;94;76;6,8;1,4;
2024-05-20;2,8;1017,3;21,7;25,7;22,3;21,9;96,9;83;6,8;1,4;
2024-05-21;3,2;1020,9;20,1;22,8;21;19,5;95,1;79;4,2;1,1;
2024-05-22;0;1018,6;21,2;26;22,6;19,6;92,3;74;5;1,1;
2024-05-23;0;1014,1;21,2;28,9;23,5;20;93,7;64;5,9;1,1;
2024-05-24;,2;1011,8;18,9;30,2;25;21;73,8;37;11,1;1,8;
2024-05-25;8,4;1018,2;19,4;25,6;20,6;20,1;93,4;60;8,1;1,3;
2024-05-26;23,2;1021,8;18,4;19,5;18,4;17,7;100;100;4,5;1,2;
2024-05-27;22,8;1019,2;19,6;21,5;19,6;18,1;100;96;4,8;,8;
2024-05-28;5,4;1015;20,2;25,1;21,5;18,9;92,4;73;8,1;1,4;
2024-05-29;,2;1019,9;14,8;22,9;18,4;14,8;81,8;49;8,2;1,3;
2024-05-30;0;1022,5;16,2;23;18,1;15,2;89,9;60;6,3;1;
2024-05-31;0;1023,7;17,7;23,1;19,4;17;90,8;67;5,1;1;
2024-06-01;,2;1023,1;17,3;24,4;19,6;15,4;88,4;58;5,6;1;
2024-06-02;,2;1021,2;18,2;24,7;19,9;16,1;91;64;4,7;1,2;
2024-06-03;,2;1020;18,8;30;21,7;16,5;90,4;49;6,1;1,1;
2024-06-04;86,4;1023,2;19,9;23,5;20,1;19,5;98,8;88;9,6;1,2;
2024-06-05;20,2;1022,6;19,2;22,4;19,9;18,5;96,1;79;3,1;,8;
2024-06-06;0;1020,4;19,2;24,4;20,4;17,4;93,5;73;4,8;,9;
2024-06-07;,2;1020,5;19,3;25,4;20,3;16,2;94,7;77;4,7;1;
2024-06-08;0;1020,8;19,9;24,6;20,7;17,1;95,3;80;5,4;1;
2024-06-09;,2;1017,9;20,3;24,7;21,1;18;95,9;76;5;1,2;
2024-06-10;0;1015,7;19,6;30,1;22,4;17,9;94,6;63;5,5;1;
2024-06-11;,2;1018,3;20,5;28,4;22,4;18,9;93,9;61;7,3;1,2;
2024-06-12;0;1019,2;20,3;24,9;21,1;18,3;95,4;76;5,6;1,1;
2024-06-13;,2;1016,8;19,8;26,8;20,9;17,1;94;60;5,9;1,1;
2024-06-14;,2;1016,4;17,2;31,2;21,9;16;86,3;43;7,5;1,3;
2024-06-15;0;1016,9;null;33;24,8;18,1;77,6;47;10,1;1,6;
2024-06-16;0;1015,7;20,3;28,9;23,7;19,9;85,1;58;6,1;1,1;
2024-06-17;0;1012,9;null;33,4;25,7;20,3;81,3;38;6,7;1,2;
2024-06-18;0;1013,1;null;32,7;25,7;19,5;65,4;32;6,8;1,3;
2024-06-19;0;1014,7;null;31;24;17,9;75,9;34;8,5;1,3;
2024-06-20;0;1017,2;19,8;27,2;21,6;17,4;90,3;58;7,9;1,2;
2024-06-21;0;1018;19,5;24,4;20,8;17,1;92,9;75;4,9;1,2;
2024-06-22;,2;1015,1;18,5;29,6;23;17,2;85,1;47;11,4;1,3;
2024-06-23;0;1012;null;34,2;27,1;19,4;62,3;39;10,4;1,5;
2024-06-24;0;1012,1;null;34,7;28,6;25,7;60,1;37;12,1;1,7;
2024-06-25;,6;1018,8;21,2;23,2;21,2;20,8;100;95;5;1;
2024-06-26;9;1014,7;20,8;24,6;21,3;18,9;97,1;85;5,4;1,3;
2024-06-27;1;1013,9;20,4;22,7;20,5;19,9;99,6;90;7,5;1,2;
2024-06-28;1,8;1011,5;19,6;30,8;22,3;17,5;91,8;65;8,5;1,1;
2024-06-29;0;1014,8;19,3;24,1;21,3;21,2;89,3;60;8,9;1,2;
2024-06-30;3,8;1020,1;16,7;18,8;17,4;17;95,8;83;null;null;
2024-07-01;,2;1021,5;16,4;19,8;17,9;16,3;91,1;77;null;null;

